Land,Aantal klikken,Vertoningen,CTR,Positie
Nederland,1061,462560,0.23%,26.54
België,257,69948,0.37%,18.66
Duitsland,7,2383,0.29%,20.64
Frankrijk,7,2098,0.33%,14.16
Spanje,3,2811,0.11%,14.97
Suriname,3,2209,0.14%,8.52
Italië,3,715,0.42%,12
Zuid-Afrika,2,705,0.28%,6.73
Singapore,2,75,2.67%,13.59
Moldavië,2,6,33.33%,37.17
Griekenland,1,565,0.18%,11.74
Curaçao (Nederlandse Antillen),1,482,0.21%,8.76
Turkije,1,447,0.22%,13.01
Oostenrijk,1,343,0.29%,22.25
Zwitserland,1,313,0.32%,16.99
Canada,1,236,0.42%,15.54
Denemarken,1,156,0.64%,13.1
Hongarije,1,101,0.99%,14.85
Caribisch Nederland,1,84,1.19%,8.06
Bosnië en Herzegovina,1,26,3.85%,14.12
Verenigde Staten,0,2958,0%,24.04
India,0,1160,0%,54.53
Indonesië,0,800,0%,46.33
Verenigd Koninkrijk,0,748,0%,26.76
Filipijnen,0,731,0%,54.07
Portugal,0,450,0%,9.22
Marokko,0,344,0%,11.4
Zuid-Korea,0,338,0%,51.3
Colombia,0,300,0%,49.17
Vietnam,0,273,0%,42.86
Thailand,0,232,0%,23.8
Egypte,0,197,0%,28.19
Zweden,0,188,0%,11.48
Japan,0,182,0%,18.21
Aruba,0,177,0%,7.77
Noorwegen,0,160,0%,16.12
Australië,0,154,0%,18.49
Argentinië,0,145,0%,53.43
Bangladesh,0,140,0%,54.25
Brazilië,0,138,0%,28.01
Polen,0,136,0%,14.79
Rusland,0,116,0%,28.64
Peru,0,106,0%,42.65
Algerije,0,104,0%,53.15
Mexico,0,98,0%,19.83
Kroatië,0,94,0%,12.14
Luxemburg,0,89,0%,16.55
Tsjechië,0,86,0%,13.36
Ierland,0,84,0%,18.25
Maleisië,0,84,0%,33.9
Verenigde Arabische Emiraten,0,83,0%,18.9
Guatemala,0,80,0%,54.11
Taiwan,0,71,0%,44
Israël,0,70,0%,38.9
Roemenië,0,67,0%,20.19
Pakistan,0,66,0%,43.95
Ecuador,0,63,0%,47.73
Dominicaanse Republiek,0,56,0%,42.75
Nieuw-Zeeland,0,50,0%,25.34
Ethiopië,0,50,0%,54.82
Chili,0,49,0%,35.57
Kenia,0,44,0%,37.86
Nepal,0,43,0%,42.02
Bolivia,0,43,0%,55.47
Hongkong,0,42,0%,13.76
Albanië,0,38,0%,8.29
Bulgarije,0,37,0%,26.22
Malta,0,36,0%,8.69
Finland,0,36,0%,16.5
Oekraïne,0,36,0%,32.89
Saudi-Arabië,0,36,0%,40.97
Cambodja,0,36,0%,49.42
China,0,32,0%,9.38
Irak,0,29,0%,41.83
Servië,0,26,0%,15.73
Georgië,0,24,0%,43.92
Namibië,0,23,0%,10.43
Slovenië,0,23,0%,12.04
Venezuela,0,23,0%,39.39
Iran,0,22,0%,16.91
Litouwen,0,22,0%,18.41
Tunesië,0,22,0%,22.45
Sri Lanka,0,22,0%,26.45
El Salvador,0,22,0%,47.23
Sint Maarten,0,21,0%,10.05
Oezbekistan,0,21,0%,40.1
Cyprus,0,20,0%,11.95
Kaapverdië,0,19,0%,5.42
Montenegro,0,19,0%,8.95
IJsland,0,19,0%,23.95
Costa Rica,0,19,0%,28.68
Macedonië,0,18,0%,7.61
Tanzania,0,17,0%,9.53
Panama,0,16,0%,6.94
Slowakije,0,16,0%,17.31
Belarus,0,16,0%,40
Ghana,0,16,0%,45.94
Kazachstan,0,13,0%,36.08
Paraguay,0,13,0%,42.23
Honduras,0,13,0%,50
Armenië,0,12,0%,35.92
Nigeria,0,12,0%,36.17
Letland,0,10,0%,8.3
Onbekende Regio,0,10,0%,15.8
Guyana,0,9,0%,31.44
Estland,0,8,0%,16.88
Fiji,0,8,0%,29.12
Jordanië,0,8,0%,41
Gambia,0,7,0%,8.14
Madagaskar,0,7,0%,10.71
Somalië,0,7,0%,24.86
Kirgizië,0,7,0%,51
Senegal,0,6,0%,24.83
Bhutan,0,6,0%,46.83
Jersey,0,5,0%,7.6
Oeganda,0,5,0%,8.8
Laos,0,5,0%,12
Azerbeidzjan,0,5,0%,12.8
Palestina,0,5,0%,14
Qatar,0,5,0%,16.8
Kosovo,0,5,0%,18.8
Mongolië,0,5,0%,25.8
Afghanistan,0,5,0%,34
Belize,0,5,0%,36.2
Syrië,0,4,0%,5.25
Nicaragua,0,4,0%,6.5
Maldiven,0,4,0%,11
Rwanda,0,4,0%,17.25
Jamaica,0,4,0%,21.75
Uruguay,0,4,0%,27.5
Macau,0,4,0%,27.75
Haïti,0,4,0%,29.75
Koeweit,0,4,0%,46
Burkina Faso,0,4,0%,59.75
Ivoorkust,0,3,0%,8
Zambia,0,3,0%,8
Libanon,0,3,0%,8.33
Oman,0,3,0%,36
Trinidad en Tobago,0,3,0%,37.67
Barbados,0,3,0%,43.67
Guadeloupe,0,2,0%,2
Andorra,0,2,0%,3.5
Botswana,0,2,0%,4.5
Mauritius,0,2,0%,5
Frans-Guyana,0,2,0%,6.5
Bahama's,0,2,0%,7
Noord-Korea,0,2,0%,10.5
Djibouti,0,2,0%,35.5
Angola,0,2,0%,40.5
Congo-Kinshasa,0,2,0%,59
Benin,0,2,0%,71
